#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
100.00000000003028,-14467.16033546361,2794.612919006509,308.7870254494624,10.584914165313217,1.0285883448058777
199.9999999998967,-14351.194199484635,2735.4599080416215,302.2509924346574,11.12547757195659,0.9786114142781077
299.99999999997624,-14290.36959707806,2599.005281275255,287.1736205305076,11.215504935472753,0.9707560563569828
400.0000000004537,-14361.997448041351,2557.918716257405,282.63381535337123,10.869489020115076,1.0016588011693435
500.0000000009312,-14204.18712119414,2690.5548015999157,297.2892626182236,10.68856671401186,1.0186135926848956
600.0000000014087,-14214.601657082647,2756.9591427190926,304.6265216824992,10.865694064043659,1.0020086408690976
700.0000000018862,-14270.882991255246,2726.9884603132873,301.3149511219261,10.94504506780712,0.9947441306784095
800.0000000023637,-14296.249750604067,2593.662821442242,286.58331256005505,10.788396144568985,1.0091879455773158
900.0000000028411,-14319.624307958555,2815.384637943509,311.0821688163329,10.950876249127246,0.9942144439883988
1000.0000000033186,-14255.956860966282,2567.2405744015173,283.6638216302354,11.093615106620511,0.981422127644783
1100.000000001636,-14463.521279382316,2753.604533399725,304.2558586020319,11.000964450906437,0.9896877123636844
1199.9999999992713,-14479.20074319026,2650.0152495567636,292.80989890981107,10.587707569500987,1.0283169675534354
1299.9999999969066,-14053.23485803257,2574.0550821710954,284.4167815731882,10.857945740302798,1.0027236828785429
1399.999999994542,-14307.432658999089,2643.5001564080594,292.09002238586305,10.87290469498398,1.0013441344919145
1499.9999999921772,-14143.067037527326,2810.5936947475807,310.55279994077006,11.057292030001573,0.9846460879997451
1599.9999999898125,-14267.077785754773,2743.089529841118,303.09401731468574,10.926180301540283,0.9964616216041187
1699.9999999874478,-14324.300095099024,2836.2412839205094,313.3866960831646,10.70691418596783,1.016868086556692
1799.9999999850832,-14454.200700663205,2641.416665752707,291.85980986603874,10.919891237580469,0.9970355110994829
1899.9999999827185,-14229.809543388088,2704.6095058031788,298.84221840504523,10.827307888376481,1.005561073302438
1999.9999999803538,-14143.762384514994,2657.9635155091787,293.68813195032817,11.1897424342382,0.9729910590165458
2099.9999999779893,-14272.861834175972,2865.0763426730377,316.5727874235063,10.719210100422302,1.015701645850087
2199.9999999756246,-14146.12776929576,2813.5523452131683,310.8797120760429,11.08166112082847,0.9824808052240683
2299.99999997326,-14134.045196660409,2890.3065404924596,319.36056446524793,10.805282865710149,1.007610765634154
2399.9999999708953,-14493.778492652942,2898.1027807594796,320.2219996305152,10.538900054879694,1.033079285742984
2499.9999999685306,-14449.483799100883,2717.1839274338363,300.2316123442454,10.852768309925564,1.0032020430450417
2599.999999966166,-14381.886279348328,2660.2029125594836,293.93557113922657,10.804861269835186,1.0076500816912277
2699.999999963801,-14288.86138867891,2621.641770578444,289.6748092107042,10.881367503073275,1.0005653552402118
2799.9999999614365,-14110.305591619748,2724.6613296432224,301.05781792378104,11.065104397174528,0.9839508919583202
2899.999999959072,-14443.354633782328,2676.889629305977,295.77934763994466,10.91806952860555,0.9972018691295471
2999.999999956707,-14323.853864298253,2737.9846565507896,302.5299611522397,10.973284821230466,0.9921841562106615
3099.9999999543425,-14455.903371305183,2880.0502380761345,318.2273080154162,10.734603299681014,1.0142451506834294
3199.9999999519778,-14325.510216979223,2674.580773145438,295.5242336593448,10.869527662348014,1.0016552401744299
3299.999999949613,-14150.149425812102,2674.8263420869484,295.55136747185816,10.970506879379231,0.9924353961872617
3399.9999999472484,-14268.183027626706,2758.4380583547336,304.7899324922447,10.903633907029716,0.9985220921799732
3499.9999999448837,-14395.014724565903,2688.0332656707474,297.0106488703817,10.740226468924227,1.0137141309555955
3599.999999942519,-13982.299590837123,2797.452639140855,309.10079653648125,10.988719875573008,0.9907905074014891
3699.9999999401543,-14264.91829341904,2645.4798106801327,292.30876164307267,10.807946791402086,1.007362411320624
3799.9999999377897,-14239.384835231838,2676.3493916071952,295.7196547962925,10.959801178152354,0.9934048222439805
3899.999999935425,-14230.948940689937,2689.7969968011794,297.2055299881761,10.831886414278516,1.0051360330791463
3999.9999999330603,-14499.57215243089,2896.2329981771773,320.0154004990578,10.775973708696016,1.0103513274559845
4099.999999930696,-14380.066984386365,2809.3873570682904,310.4195072685927,10.979208157825727,0.9916488679970452
4199.999999928331,-14415.851208747197,2648.33585343885,292.6243362766911,10.658713085607953,1.021466592989805
4299.999999925966,-14313.081087291961,2612.587635756739,288.6743846651086,11.21395870275536,0.9708899087114221
